R	P	Collection Time	Source Url	Url	Column 6	Column 7	Column 8	Column 9
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/public-health/fcft	Couple and Family Therapy	FCFT	Public Health	MS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/admissions/non-degree-admissions		For information about applying as a Non-Degree Seeking Student (NDSS) go here.		
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/architectureplanningpreservation/lcpl	Community Planning and Law	LCPL	Architecture	MCP/JD
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-online	Bioengineering (online)	MEBI	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-online	Cybersecurity (online)	MECY	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	http://sph.umd.edu/degrees/mph-environmental-health-sciences	Environmental Health Sciences*	MIEH	Public Health	MPH
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/computermathematicalnatural-sciences/mpae	Applied Entomology	MPAE	Computer/Mathematical and Natural Sciences	MPS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/computermathematicalnatural-sciences/mpao	Atmospheric and Oceanic Science and Technology	MPAO	Computer/Mathematical and Natural Sciences - Professional	MPS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/interdisciplinary-programs-centers/mpci	Corporate Innovation (online)	MPCI	Interdisciplinary Programs/Centers	MPS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/behavioralsocial-sciences/mpec	Applied Economics (Off-Campus)	MPEC	Behavioral and Social Sciences	MPS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/behavioralsocial-sciences/mpem	Applied Economics (On-Campus)	MPEM	Behavioral and Social Sciences	MPS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/behavioralsocial-sciences/mpps	Clinical Psychological Science	MPPS	Behavioral and Social Sciences	MPS
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Aerospace Engineering	PMAE	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Additive Manufacturing	PMAM	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Bioengineering	PMBI	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Civil and Environmental Engineering	PMCE	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Chemical and Biomolecular Engineering	PMCH	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Cybersecurity	PMCY	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Electrical and Computer Engineering	PMEE	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/meng-campus	Environmental Engineering	PMEN	Engineering - Professional	MEng
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=rhsmith	**	These Business programs (MS and MBA) can be accessed through the Smith School of Business' application.		
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://sophas.liaisoncas.com/applicant-ux/#/login	*	These Public Health programs, can be accessed through the SOPHAS universal application.		
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/computermathematicalnatural-sciences/aosc-certificates	Air Quality Science and Technology	Z047	Computer/Mathematical and Natural Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/computermathematicalnatural-sciences/aosc-certificates	Computational Methods in Atmospheric and Oceanic Science	Z048	Computer/Mathematical and Natural Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Aerospace Engineering	Z053	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Bioengineering	Z054	Engineering - Professional	Certificate
